article_title;article_text
Art. 45 Grundsatz;Für jeden Einwohner und jede Einwohnerin ist in zeitgerecht erreichbarer Nähe des Wohnortes ein Schutzplatz bereitzustellen.
Art. 46 Baupflicht;"1 Sind in einer Gemeinde zu wenig Schutzplätze vorhanden, so hat die Eigentümerin oder der Eigentümer eines Wohnhauses bei dessen Bau Schutzräume zu erstellen und auszurüsten. Muss sie oder er keine Schutzräume erstellen, so hat sie oder er einen Ersatzbeitrag zu entrichten. 2 Die Eigentümerin oder der Eigentümer eines Heims oder Spitals hat bei dessen Bau Schutzräume zu erstellen und auszurüsten. Ist dies aus technischen Gründen nicht möglich, so hat sie oder er einen Ersatzbeitrag zu entrichten. 3 Die Gemeinden sorgen in Gebieten mit zu wenig Schutzplätzen dafür, dass eine genügende Anzahl ausgerüsteter öffentlicher Schutzräume vorhanden ist. 4 Die Kantone können die Eigentümerin oder den Eigentümer sowie die Besitzerin oder den Besitzer unbeweglicher und beweglicher Kulturgüter von nationaler Bedeutung verpflichten, bauliche Massnahmen zu deren Schutz zu treffen oder zu dulden. 5 Der Bundesrat bestimmt die Mindestanforderungen an bauliche Massnahmen zum Schutz von Kulturgütern sowie an Kulturgüterschutzräume.2 1 Fassung gemäss Ziff. I des BG vom 17. Juni 2011, in Kraft seit 1. Jan. 2012 (AS 2011 5891; BBl 2010 6055).2 Eingefügt durch Art. 23 des BG vom 20. Juni 2014 über den Schutz der Kulturgüter bei bewaffneten Konflikten, bei Katastrophen und in Notlagen, in Kraft seit 1. Jan. 2015 (AS 2014 3545; BBl 2013 8987)."
Art. 47 Steuerung, Ersatzbeiträge;"1 Zur Gewährleistung eines ausgewogenen Schutzplatzangebots steuern die Kantone den Schutzraumbau. 2 Die Ersatzbeiträge nach Artikel 46 Absätze 1 und 2 dienen in erster Linie zur Finanzierung der öffentlichen Schutzräume der Gemeinden und zur Erneuerung privater Schutzräume. Die verbleibenden Ersatzbeiträge können für weitere Zivilschutzmassnahmen verwendet werden. 3 Die Ersatzbeiträge gehen an die Kantone. 4 Der Bundesrat legt die Rahmenbedingungen fest für die Steuerung des Schutzraumbaus und für die Höhe der Ersatzbeiträge und regelt deren Verwendung. 1 Fassung gemäss Ziff. I des BG vom 17. Juni 2011, in Kraft seit 1. Jan. 2012 (AS 2011 5891; BBl 2010 6055)."
Art. 48 Baubewilligungen;1 Baubewilligungen dürfen erst erteilt werden, wenn die zuständigen Stellen über die Schutzraumbaupflicht entschieden haben. 2 Um die ordnungsgemässe Ausführung der Schutzräume zu gewährleisten, können die Kantone vom Bauherrn Sicherheitsleistungen verlangen.
Art. 48a Unterhalt;"Der Unterhalt der Schutzräume obliegt der Eigentümerin oder dem Eigentümer. 1 Eingefügt durch Ziff. I des BG vom 17. Juni 2011, in Kraft seit 1. Jan. 2012 (AS 2011 5891; BBl 2010 6055)."
Art. 49 Aufhebung;"1 Schutzräume können von den Kantonen aufgehoben werden. 2 Der Bundesrat legt die Voraussetzungen fest; er regelt bei Aufhebung öffentlicher Schutzräume die Rückerstattung der Bundesbeiträge. 1 Fassung gemäss Ziff. I des BG vom 17. Juni 2011, in Kraft seit 1. Jan. 2012 (AS 2011 5891; BBl 2010 6055)."
Art. 50 Schutzanlagen;"Schutzanlagen sind: a.Kommandoposten;b.Bereitstellungsanlagen;c.geschützte Sanitätsstellen;d.geschützte Spitäler."
Art. 51 Bund;Der Bund regelt zur Erreichung einer ausgewogenen Bereitschaft die Erstellung, die Ausrüstung, den Unterhalt, die Erneuerung und die Umnutzung der Schutzanlagen.
Art. 52 Kantone;"1 Die Kantone legen den Bedarf an Schutzanlagen fest. 2 Sie sorgen für die Erstellung, die Ausrüstung, den Unterhalt und die Erneuerung der Kommandoposten, der Bereitstellungsanlagen und der geschützten Sanitätsstellen. 3 Der Bundesrat legt die Rahmenbedingungen für die Bedarfsplanung fest. 1 Fassung gemäss Ziff. I des BG vom 17. Juni 2011, in Kraft seit 1. Jan. 2012 (AS 2011 5891; BBl 2010 6055)."
Art. 53 Spitalträgerschaften;"1 Die Spitalträgerschaften sorgen für die Erstellung, die Ausrüstung, den Unterhalt und die Erneuerung der geschützten Spitäler. 2 Der Bundesrat legt die Rahmenbedingungen für die Bedarfsplanung sowie die technischen Anforderungen fest. 1 Fassung gemäss Ziff. I des BG vom 17. Juni 2011, in Kraft seit 1. Jan. 2012 (AS 2011 5891; BBl 2010 6055)."
Art. 54 ;"1 Aufgehoben durch Ziff. I des BG vom 17. Juni 2011, mit Wirkung seit 1. Jan. 2012 (AS 2011 5891; BBl 2010 6055)."
Art. 55 Aufhebung;"1 Schutzanlagen dürfen nur mit Genehmigung des BABS1 aufgehoben werden. 2 Werden Schutzanlagen aufgehoben, welche den Mindestanforderungen entsprechen (Art. 56), so sind die Bundesbeiträge zurückzuerstatten. 3 Werden Schutzanlagen infolge von Reformen oder neuen Organisationsstrukturen aufgehoben, so sind keine Bundesbeiträge zurückzuerstatten. 4 Werden geschützte Sanitätsstellen oder geschützte Spitäler aufgehoben, so ist die vorgegebene Mindestzahl Patientenplätze zu gewährleisten.2 1 Ausdruck gemäss Ziff. I des BG vom 17. Juni 2011, in Kraft seit 1. Jan. 2012 (AS 2011 5891; BBl 2010 6055). Diese Änd. wurde im ganzen Erlass berücksichtigt.2 Eingefügt durch Ziff. I des BG vom 17. Juni 2011, in Kraft seit 1. Jan. 2012 (AS 2011 5891; BBl 2010 6055)."
Art. 56 Mindestanforderungen;Der Bundesrat bestimmt die Mindestanforderungen an die Schutzbauten.
Art. 57 Betriebsbereitschaft;Die Eigentümer und Eigentümerinnen sowie die Besitzer und Besitzerinnen haben dafür zu sorgen, dass die Schutzbauten auf Anordnung des Bundes betriebsbereit gemacht werden können.
Art. 58 Ersatzvornahme;Führen die Eigentümer und Eigentümerinnen sowie die Besitzer und Besitzerinnen von Schutzbauten die vorgeschriebenen Massnahmen nicht durch, so sind diese auf ihre Kosten von der zuständigen Behörde des Bundes oder des Kantons anzuordnen.
Art. 58a Rechtsetzungsdelegation;"Der Bundesrat kann dem BABS im Bereich der Schutzbauten Rechtsetzungskompetenzen zur Regelung technischer Aspekte übertragen. 1 Eingefügt durch Anhang Ziff. 7 des BG vom 18. März 2016, in Kraft seit 1. Jan. 2017 (AS 2016 4277; BBl 2014 6955)."
Art. 59;"1 Das Personal und das Material des Zivilschutzes sowie die Schutzbauten werden mit dem internationalen Schutzzeichen des Zivilschutzes gekennzeichnet. 2 Mit dem Schutzzeichen können auch gekennzeichnet werden: a.Einzelpersonen, die einem Aufruf der zuständigen Behörden Folge leisten und unter deren Leitung Zivilschutzaufgaben wahrnehmen;b.während ihrer Verwaltungstätigkeit Personen von Stellen des Bundes, der Kantone und der Gemeinden, die mit Zivilschutzaufgaben betraut sind. 3 Die Schutzdienstpflichtigen erhalten den Ausweis für das Personal des Zivilschutzes. 4 Die Gestaltung des Schutzzeichens und des Ausweises richtet sich nach dem Zusatzprotokoll vom 8. Juni 19771 zu den Genfer Abkommen vom 12. August 1949 über den Schutz der Opfer internationaler bewaffneter Konflikte (Protokoll I). 1 SR 0.518.521"
Art. 60 Grundsätze;1 Bund, Kantone und Gemeinden haften für alle Schäden, die das Lehrpersonal sowie Schutzdienstpflichtige in Ausbildungsdiensten oder bei sonstigen Verrichtungen Dritten widerrechtlich zufügen, sofern sie nicht beweisen, dass der Schaden durch höhere Gewalt oder durch Verschulden des Geschädigten oder Dritter verursacht wurde. 2 Sind Bund, Kantone und Gemeinden schadenersatzpflichtig, so haften sie solidarisch. Der Bundesrat regelt die Kostenverteilung unter den Ersatzpflichtigen. 3 Geschädigte können gegen das fehlbare Lehrpersonal sowie gegen Schutzdienstpflichtige keine Ansprüche geltend machen. 4 Bei gemeinsamen Übungen des Zivilschutzes mit den Partnerorganisationen und der Armee richtet sich die Haftung nach den Bestimmungen dieses Kapitels. 5 Beim Einsatz des Zivilschutzes im Falle bewaffneter Konflikte sind die Bestimmungen dieses Kapitels über die Haftung für Schäden nicht anwendbar. 6 Bei Tatbeständen, die unter andere Haftpflichtbestimmungen fallen, gehen diese dem vorliegenden Gesetz vor.
Art. 61 Rückgriff und Schadloshaltung ;"1 Haben Bund, Kantone und Gemeinden Schadenersatz geleistet, so steht ihnen der Rückgriff auf das Lehrpersonal sowie auf die Schutzdienstpflichtigen zu, die den Schaden vorsätzlich oder grobfahrlässig verursacht haben. 2 Wer um einen Einsatz des Zivilschutzes zugunsten der Gemeinschaft auf nationaler Ebene ersucht, muss Bund, Kantone und Gemeinden im Schadensfall für Leistungen an Dritte schadlos halten und hat gegenüber diesen Gemeinwesen keine Schadenersatzansprüche für ihr oder ihm direkt zugefügte Schäden. Vorbehalten bleiben Ansprüche aus grobfahrlässiger oder vorsätzlicher Schadenszufügung.2 1 Fassung gemäss Ziff. I des BG vom 17. Juni 2011, in Kraft seit 1. Jan. 2012 (AS 2011 5891; BBl 2010 6055).2 Eingefügt durch Ziff. I des BG vom 17. Juni 2011, in Kraft seit 1. Jan. 2012 (AS 2011 5891; BBl 2010 6055)."
Art. 62 Haftung für Schädigungen gegenüber Bund, Kantonen und Gemeinden;1 Das Lehrpersonal sowie die Schutzdienstpflichtigen haften für den Schaden, den sie Bund, Kantonen oder Gemeinden durch vorsätzliche oder grobfahrlässige Verletzung ihrer Pflichten unmittelbar zufügen. 2 Sie sind für das ihnen übergebene Material verantwortlich und haften für vorsätzlich oder grobfahrlässig verursachte Schäden oder Verluste. 3 Die Rechnungsführer und -führerinnen sind für die Rechnungsführung, die ihnen anvertrauten Gelder und Mittel sowie deren vorschriftsgemässe Verwendung verantwortlich. Sie haften für vorsätzlich oder grobfahrlässig verursachten Schaden. 4 In gleicher Weise haften die Kontrollorgane für das Rechnungswesen, wenn sie ihre Kontrollpflichten verletzen.
Art. 63 Bemessung der Entschädigung;1 Bei der Festsetzung der Entschädigung gelten die Artikel 42, 43 Absatz 1, 44 Absatz 1, 45-47, 49, 50 Absatz 1 und 51-53 des Obligationenrechts1 (OR) sinngemäss. 2 Bei der Haftung des Lehrpersonals oder von Schutzdienstpflichtigen werden ausserdem ihr Verhalten im Dienst, ihre finanziellen Verhältnisse und die Art des Dienstes angemessen berücksichtigt. 1 SR 220
Art. 64 Beschädigung oder Verlust von persönlichem Eigentum;1 Das Lehrpersonal sowie die Schutzdienstpflichtigen müssen für Verlust und Beschädigung ihres Eigentums selbst aufkommen. Bund, Kantone und Gemeinden richten ihnen eine angemessene Entschädigung aus, wenn der Schaden durch einen dienstlichen Unfall oder unmittelbar durch die Ausführung eines Befehls verursacht wurde. 2 Bei Selbstverschulden kann die Entschädigung angemessen herabgesetzt werden. Dabei wird auch berücksichtigt, ob die Verwendung des privaten Gegenstandes dienstlich geboten war.
Art. 65 Verjährung;1 Schadenersatzansprüche gegenüber Bund, Kantonen und Gemeinden nach den Artikeln 60 und 64 verjähren nach Ablauf eines Jahres, nachdem der Geschädigte vom Schaden Kenntnis erhalten hat, auf alle Fälle nach fünf Jahren seit dem Tag, an dem das Schadenereignis eingetreten ist. 2 Der Anspruch des Bundes, der Kantone und der Gemeinden auf Rückgriff nach Artikel 61 verjährt nach Ablauf eines Jahres seit der Kenntnis des Schadens und der ersatzpflichtigen Person, auf alle Fälle nach fünf Jahren seit dem Tag, an dem das Schadenereignis eingetreten ist. 3 Wird der Anspruch auf Schadenersatz oder auf Rückgriff aus einer strafbaren Handlung hergeleitet, für die das Strafrecht eine längere Verjährung vorsieht, so gilt diese. 4 Für die Unterbrechung und Geltendmachung der Verjährung gelten die Artikel 135-142 des OR1 sinngemäss. Als Klage gilt auch die schriftliche Geltendmachung des Schadenersatzanspruchs bei Bund, Kantonen und Gemeinden. 1 SR 220
Art. 66 Beurteilung der Schutzdiensttauglichkeit;"1 Gegen Entscheide der medizinischen Untersuchungskommission Rekrutierung sowie der anderen medizinischen Untersuchungskommissionen über die Beurteilung der Schutzdiensttauglichkeit kann bei einer anderen medizinischen Untersuchungskommission Beschwerde geführt werden. Diese entscheidet endgültig. 2 Beschwerdeberechtigt sind: a.die beurteilte Person oder deren gesetzliche Vertretung;b.die Militärversicherung;c.die medizinische Leitung der psychiatrischen Kliniken und Spitäler, der Anstalten für Epilepsiekranke, der Heilanstalten für Alkoholkranke sowie der Drogentherapiestationen;d.die Ärztinnen und Ärzte des militärärztlichen Dienstes. 3 Das Beschwerdeverfahren richtet sich nach den Bestimmungen des Bundesgesetzes vom 20. Dezember 19682 über das Verwaltungsverfahren. 1 Fassung gemäss Anhang Ziff. 4 des BG vom 19. März 2010, in Kraft seit 1. Jan. 2011 (AS 2010 6015; BBl 2009 5917).2 SR 172.021"
Art. 66a Zuteilung einer Funktion;"Wer mit der Zuteilung einer Funktion im Zivilschutz nicht einverstanden ist, kann beim Eidgenössischen Departement für Verteidigung, Bevölkerungsschutz und Sport (VBS) Beschwerde führen. 1 Eingefügt durch Anhang Ziff. 4 des BG vom 19. März 2010 (AS 2010 6015; BBl 2009 5917). Fassung gemäss Ziff. I des BG vom 17. Juni 2011, in Kraft seit 1. Jan. 2012 (AS 2011 5891; BBl 2010 6055)."
Art. 66b Beschwerden gegen letztinstanzliche kantonale Verfügungen;"1 In Streitigkeiten nicht vermögensrechtlicher Natur kann, ausser im Bereich des Aufgebotswesens, gegen letztinstanzliche kantonale Verfügungen beim Bundesverwaltungsgericht Beschwerde geführt werden.2 2 Das VBS kann gegen letztinstanzliche kantonale Verfügungen beim Bundesverwaltungsgericht Beschwerde führen. Die letztinstanzlich verfügenden kantonalen Behörden stellen dem VBS auf Verlangen ihre Verfügungen sofort und unentgeltlich zu. 1 Eingefügt durch Anhang Ziff. 4 des BG vom 19. März 2010 (AS 2010 6015; BBl 2009 5917). Fassung gemäss Ziff. I des BG vom 27. Sept. 2013, in Kraft seit 1. Febr. 2015 (AS 2015 187; BBl 2013 2105).2 Fassung gemäss Anhang Ziff. 7 des BG vom 18. März 2016, in Kraft seit 1. Jan. 2017 (AS 2016 4277; BBl 2014 6955)."
Art. 67 Zuständigkeiten und Beschwerde ;"1 Die Kantone bezeichnen die Behörden, die auf Stufe Kanton und Gemeinde über Schadenersatzansprüche und Rückgriffsforderungen für Schäden entscheiden, die während kantonalen oder kommunalen Schutzdienstleistungen entstanden sind. Deren Entscheide können an des BABS weitergezogen werden. 2 Das BABS entscheidet über Schadenersatzansprüche und Rückgriffsforderungen für Schäden, die während Schutzdienstleistungen entstanden sind, welche der Bund organisiert oder durchgeführt hat. 3 Über Ansprüche vermögensrechtlicher Natur des Bundes oder gegen den Bund, die sich auf das Zivilschutzrecht stützen, jedoch nicht die Schadenhaftung betreffen, entscheidet das BABS. 4 …2 1 Fassung gemäss Ziff. I des BG vom 17. Juni 2011, in Kraft seit 1. Jan. 2012 (AS 2011 5891; BBl 2010 6055).2 Aufgehoben durch Anhang Ziff. 47 des Verwaltungsgerichtsgesetzes vom 17. Juni 2005, mit Wirkung seit 1. Jan. 2007 (AS 2006 2197 1069; BBl 2001 4202)."
Art. 67a Einsprache;"1 Lehnt das BABS die Übernahme der Mehrkosten nach Artikel 71 Absätze 2 und 2bis ganz oder teilweise ab oder lehnt es die Leistung des Pauschalbeitrags nach Artikel 71 Absatz 3 ab, so begründet es dies. 2 Gegen den Entscheid kann innerhalb von 30 Tagen nach Eröffnung Einsprache erhoben werden. 1 Eingefügt durch Ziff. I des BG vom 17. Juni 2011, in Kraft seit 1. Jan. 2012 (AS 2011 5891; BBl 2010 6055)."
Art. 68 Widerhandlungen gegen das Gesetz;"1 Mit Freiheitsstrafe bis zu drei Jahren oder Geldstrafe wird bestraft, wer vorsätzlich: a.als schutzdienstpflichtige Person einem Aufgebot nicht Folge leistet, den Dienst ohne Bewilligung verlässt, nach einer bewilligten Abwesenheit nicht mehr zurückkehrt, einen Urlaub überschreitet oder sich auf andere Weise der Schutzdienstleistung entzieht;b.Ausbildungsdienste oder Einsätze des Zivilschutzes stört oder Schutzdienstleistende behindert oder gefährdet;c.öffentlich dazu auffordert, Schutzdienstleistungen oder amtlich angeordnete Massnahmen zu verweigern. 2 Mit Busse wird bestraft, wer in den Fällen nach Absatz 1 fahrlässig handelt. 3 Mit Busse wird bestraft, wer vorsätzlich: a.als schutzdienstpflichtige Person sich weigert, die im Zivilschutz übertragene Aufgabe und Funktion zu übernehmen;b.als schutzdienstleistende Person dienstliche Anordnungen nicht befolgt;c.mit der Alarmierung verbundene Anordnungen und Verhaltensanweisungen nicht beachtet;d.das internationale Schutzzeichen des Zivilschutzes oder den Ausweis für das Personal des Zivilschutzes missbräuchlich verwendet. 4 Mit Busse bis 5000 Franken wird bestraft, wer in den Fällen nach Absatz 3 fahrlässig handelt. 5 Sind Schuld und Tatfolgen geringfügig, so kann die zuständige Behörde auf die Erstattung einer Strafanzeige oder die Einleitung eines Strafverfahrens verzichten; sie kann die betreffende Person verwarnen. 6 Die Strafverfolgung und zivilrechtliche Forderungen nach anderen Gesetzen bleiben vorbehalten. 1 Fassung gemäss Ziff. I des BG vom 17. Juni 2011, in Kraft seit 1. Jan. 2012 (AS 2011 5891; BBl 2010 6055)."
Art. 69 Widerhandlungen gegen Ausführungserlasse;"1 Mit Busse wird bestraft, wer den in Ausführung dieses Gesetzes erlassenen Vorschriften, deren Übertretung unter Hinweis auf die Strafdrohung dieser Bestimmung für strafbar erklärt ist, vorsätzlich zuwiderhandelt. In schweren Fällen oder bei Rückfall kann eine Busse bis 20 000 Franken verhängt werden. 2 Mit Busse bis 5000 Franken wird bestraft, wer fahrlässig handelt. 3 Sind Schuld und Tatfolgen geringfügig, so kann die zuständige Behörde auf die Erstattung einer Strafanzeige oder die Einleitung eines Strafverfahrens verzichten; sie kann die betreffende Person verwarnen. 1 Fassung gemäss Ziff. I des BG vom 17. Juni 2011, in Kraft seit 1. Jan. 2012 (AS 2011 5891; BBl 2010 6055)."
Art. 70 Strafverfolgung;"1 Verfolgung und Beurteilung der in diesem Gesetz mit Strafe bedrohten Handlungen obliegen den Kantonen. 2 …1 1 Aufgehoben durch Ziff. I des BG vom 17. Juni 2011, mit Wirkung seit 1. Jan. 2012 (AS 2011 5891; BBl 2010 6055)."
Art. 71;"1 Der Bund trägt die Kosten für: a.die Rekrutierung der Schutzdienstpflichtigen;b.die gemäss diesem Gesetz von ihm durchzuführende Ausbildung und die dazu erforderliche Ausbildungsinfrastruktur;c.Einsätze der Schutzdienstpflichtigen beim Aufgebot durch den Bundesrat;d.die eigenen Aufwendungen für die Bereiche gemäss Artikel 7;e.die eigenen Aufwendungen für die Forschung und Entwicklung;f.die Massnahmen gemäss Artikel 43;g.die Verstärkung des Zivilschutzes im Hinblick auf bewaffnete Konflikte;h.Einsätze im Falle bewaffneter Konflikte. 2 Er trägt die anerkannten Mehrkosten für die Erstellung, die Ausrüstung, die Erneuerung, die Umnutzung sowie, bei einer Aufhebung, den notwendigen Rückbau der technischen Schutzbausysteme von Schutzanlagen. Fällt aufgrund der Aufhebung einer geschützten Sanitätsstelle oder eines geschützten Spitals die Anzahl Patientenplätze unter die vorgegebene Mindestzahl, so übernimmt der Bund diese Kosten nicht.1 2bis Er trägt die anerkannten Mehrkosten für die Erstellung und die Erneuerung von Kulturgüterschutzräumen für die kantonalen Archive und die Sammlungen von nationaler Bedeutung sowie die Kosten für die Ausrüstung der Kulturgüterschutzräume der kantonalen Archive.2 3 Er leistet einen jährlichen Pauschalbeitrag zur Sicherstellung der Betriebsbereitschaft der Schutzanlagen für den Fall bewaffneter Konflikte. 4 Er kann Tätigkeiten öffentlicher oder privater Organisationen im Bereich des Zivilschutzes finanziell unterstützen. 5 Er beteiligt sich nicht an: a.Landerwerbskosten sowie Entschädigungen für die Inanspruchnahme von öffentlichem und privatem Grund;b.kantonalen und kommunalen Gebühren;c.Kosten für den ordentlichen Unterhalt der Schutzanlagen. 1 Fassung gemäss Ziff. I des BG vom 17. Juni 2011, in Kraft seit 1. Jan. 2012 (AS 2011 5891; BBl 2010 6055).2 Eingefügt durch Ziff. I des BG vom 17. Juni 2011, in Kraft seit 1. Jan. 2012 (AS 2011 5891; BBl 2010 6055)."
Art. 72 Bearbeitung von Daten;"1 Das BABS bearbeitet zur Erfüllung seiner Aufgaben im Rahmen der Rekrutierung (Art. 16) und der Kontrollaufgaben (Art. 28) Personendaten von Schutzdienstpflichtigen im Personalinformationssystem der Armee und des Zivilschutzes.2 Es kann dabei folgende besonders schützenswerten Personendaten und Persönlichkeitsprofile bearbeiten: a.Daten über die Gesundheit;b.Persönlichkeitsprofile: 1.für Entscheide über die Zuteilung der Grundfunktion,2.zur Abklärung des Kaderpotenzials. 1.für Entscheide über die Zuteilung der Grundfunktion,2.zur Abklärung des Kaderpotenzials. 1bis Es bearbeitet die Personendaten von Kursteilnehmenden zur Durchführung der Ausbildungen im Veranstaltungsadministratorsystem. Es kann dabei folgende besonders schützenswerten Personendaten und Persönlichkeitsprofile bearbeiten: a.Daten über die Gesundheit;b.Persönlichkeitsprofile zur Beurteilung des Kader- oder Spezialistenpotenzials.3 1ter …4 2 Die Kantone dürfen die Daten von Schutzdienstpflichtigen bearbeiten, soweit dies zur Erfüllung ihrer Aufgaben nach diesem Gesetz notwendig ist. Insbesondere dürfen sie die für die Beurteilung der Dienstfähigkeit notwendigen sanitätsdienstlichen Daten der Schutzdienstpflichtigen bearbeiten. 3 Die Daten nach Absatz 2 sind spätestens fünf Jahre nach der Entlassung aus der Schutzdienstpflicht zu vernichten.5 4 …6 5 Das BABS und die Kantone sind berechtigt, die AHV-Versichertennummer zur Wahrnehmung ihrer Kontrollaufgaben systematisch zu verwenden.7 1 Fassung gemäss Anhang Ziff. 3 des BG vom 3. Okt. 2008 über die militärischen Informationssysteme, in Kraft seit 1. Jan. 2010 (AS 2009 6617; BBl 2008 3213).2 Fassung gemäss Anhang Ziff. 7 des BG vom 18. März 2016, in Kraft seit 1. Jan. 2017 (AS 2016 4277; BBl 2014 6955).3 Eingefügt durch Ziff. I des BG vom 17. Juni 2011, in Kraft seit 1. Jan. 2012 (AS 2011 5891; BBl 2010 6055).4 Eingefügt durch Ziff. I des BG vom 27. Sept. 2013 (AS 2015 187; BBl 2013 2105). Aufgehoben durch Anhang Ziff. 7 des BG vom 18. März 2016, mit Wirkung seit 1. Jan. 2017 (AS 2016 4277; BBl 2014 6955).5 Fassung gemäss Anhang Ziff. 7 des BG vom 18. März 2016, in Kraft seit 1. Jan. 2017 (AS 2016 4277; BBl 2014 6955).6 Aufgehoben durch Anhang Ziff. 7 des BG vom 18. März 2016, mit Wirkung seit 1. Jan. 2017 (AS 2016 4277; BBl 2014 6955).7 Eingefügt durch Ziff. I des BG vom 17. Juni 2011 (AS 2011 5891; BBl 2010 6055). Fassung gemäss Ziff. I des BG vom 27. Sept. 2013, in Kraft seit 1. Febr. 2015 (AS 2015 187; BBl 2013 2105)."
Art. 73 Bekanntgabe von Daten;"1 Die kontrollführenden Stellen der Kantone geben dem BABS die Daten über Schutzdienstpflichtige weiter, soweit sie zur Erfüllung von Aufgaben nach diesem Gesetz benötigt werden. 2 Sie geben zudem die Daten der Militärversicherung1 weiter, welche diese für die Erledigung ihrer Aufgaben nach dem MVG2 benötigt. 2bis Das BABS kann den für die Ausbildung zuständigen Stellen der Kantone die Beurteilungen des Kader- oder Spezialistenpotenzials der an Ausbildungen des Bundes teilnehmenden Personen zur Verfügung stellen.3 3 Es kann den zuständigen Stellen des Bundes und den für den Zivilschutz zuständigen Stellen der Kantone die Daten des Zentralen Zivilschutz-Informationssystems bekannt geben oder durch ein Abrufverfahren zugänglich machen.4 1 Ausdruck gemäss Ziff. II Abs. 1 Bst. c des BG vom 18. März 2005 über die Übertragung der Führung der Militärversicherung an die SUVA, in Kraft seit 1. Juli 2005 (AS 2005 2881; BBl 2004 2851).2 SR 833.13 Eingefügt durch Ziff. I des BG vom 17. Juni 2011, in Kraft seit 1. Jan. 2012 (AS 2011 5891; BBl 2010 6055).4 Fassung gemäss Ziff. I des BG vom 17. Juni 2011, in Kraft seit 1. Jan. 2012 (AS 2011 5891; BBl 2010 6055)."
Art. 73a;"1 Das BABS kann Dritten gewerbliche Leistungen erbringen, wenn diese Leistungen: a.mit den Hauptaufgaben der Stelle in einem engen Zusammenhang stehen;b.die Erfüllung der Hauptaufgaben nicht beeinträchtigen; undc.keine bedeutenden zusätzlichen sachlichen und personellen Mittel erfordern. 2 Gewerbliche Leistungen sind auf der Grundlage einer Kosten- und Leistungsrechnung zu mindestens kostendeckenden Preisen zu erbringen. Das Eidgenössische Departement für Verteidigung, Bevölkerungsschutz und Sport kann für bestimmte Leistungen Ausnahmen vorsehen, wenn dadurch die Privatwirtschaft in keiner Weise konkurrenziert wird."
Art. 74 Aufsicht;Der Bundesrat übt die Aufsicht aus.
Art. 75 Ausführungsbestimmungen;1 Der Bundesrat erlässt die Ausführungsbestimmungen. 2 Er kann dem BABS Rechtsetzungskompetenzen übertragen. 3 Der Vollzug ist im Übrigen Aufgabe der Kantone.
Art. 75a Übertragung von Vollzugsaufgaben;"Der Bund kann im Rahmen seiner Zuständigkeiten Dritte für den Vollzug dieses Gesetzes beiziehen und ihnen Vollzugsaufgaben übertragen. 1 Eingefügt durch Anhang Ziff. 7 des BG vom 18. März 2016, in Kraft seit 1. Jan. 2017 (AS 2016 4277; BBl 2014 6955)."
Art. 76 Aufhebung bisherigen Rechts;"Folgende Erlasse werden aufgehoben: 1.Bundesgesetz vom 17. Juni 19941 über den Zivilschutz;2.Bundesgesetz vom 4. Oktober 19632 über bauliche Massnahmen im Zivilschutz. 1 [AS 1994 2626, 1995 1227 Anhang Ziff. 9, 1996 1445 Anhang Ziff. 14]2 [AS 1964 487, 1978 50 Ziff. II, 1980 1786, 1985 1649 Ziff. II, 1994 2667]"
Art. 77 Referendum und Inkrafttreten;1 Dieses Gesetz untersteht dem fakultativen Referendum. 2 Der Bundesrat bestimmt das Inkrafttreten.
